Wall time,Step,Value
1712128280.5462284,763839,-42.81698226928711
1712128291.7862632,764143,-44.207271575927734
1712128295.144567,764232,-43.47468948364258
1712128346.1263533,765587,-44.06697463989258
1712128346.681785,765604,-44.46767044067383
1712128376.7093463,766398,-40.38028335571289
1712128411.914652,767320,-43.13798904418945
1712128425.3392105,767695,-44.599124908447266
1712128444.739931,768230,-39.35517883300781
1712128460.6350932,768656,-36.61787033081055
1712128471.837801,768953,-38.5765495300293
1712128497.1122608,769618,-40.594200134277344
1712128515.8073826,770126,-35.97126007080078
1712128525.9946342,770388,-38.74209976196289
1712128529.402748,770481,-38.68165969848633
1712128531.6693637,770544,-38.55628204345703
1712128545.5290465,770913,-39.78590393066406
1712128565.4250345,771409,-43.107994079589844
1712128576.5275595,771707,-43.989410400390625
1712128588.4519987,772053,-42.22164535522461
1712128590.4985769,772107,-43.520965576171875
1712128592.4396133,772155,-43.01325988769531
1712128611.3843107,772652,-35.734554290771484
1712128649.2139406,773652,-37.44530487060547
1712128650.6643662,773699,-41.675907135009766
1712128679.7785828,774486,-38.84876251220703
1712128715.942262,775427,-42.20814514160156
1712128752.575381,776430,-37.4224739074707
1712128770.8632016,776927,-38.42925262451172
1712128771.6661537,776950,-38.721534729003906
1712128814.290635,778123,-39.8154411315918
1712128853.4768896,779163,-38.78206253051758
1712128870.5409403,779622,-40.11103820800781
1712128875.725112,779762,-39.05838394165039
1712128900.7067132,780442,-39.5330696105957
1712128917.2389085,780898,-39.419185638427734
1712128926.2268088,781129,-37.58114242553711
1712128950.6585248,781781,-38.885684967041016
1712128963.7810876,782144,-40.515647888183594
1712128988.2238367,782801,-36.492828369140625
1712128993.4517834,782942,-37.034523010253906
1712128997.8568916,783064,-34.69014358520508
1712129000.8274431,783149,-35.45790100097656
1712129016.4298408,783583,-39.0831184387207
1712129059.5000725,784726,-33.49506378173828
1712129089.832326,785516,-33.704280853271484
1712129091.7447815,785569,-33.16530227661133
1712129166.9218261,787650,-37.65102005004883
1712129174.1545436,787838,-35.06481170654297
1712129189.3494837,788261,-34.425804138183594
1712129224.7246082,789211,-39.50444793701172
1712129246.841247,789818,-43.870689392089844
1712129266.2501264,790335,-37.33915328979492
1712129274.9937096,790571,-36.509674072265625
1712129280.8113406,790727,-36.102840423583984
1712129290.9256976,790988,-37.099815368652344
1712129291.6045053,791006,-37.218719482421875
1712129306.2144313,791415,-37.87663650512695
1712129307.4901705,791459,-38.806095123291016
1712129310.836821,791551,-40.34464645385742
1712129345.4182034,792499,-37.893836975097656
1712129384.3629706,793576,-40.51206970214844
1712129412.6033397,794341,-36.25347900390625
1712129450.648947,795360,-35.071434020996094
1712129512.8520336,797064,-37.069515228271484
1712129575.7800324,798824,-30.545318603515625
1712129603.3432176,799592,-37.51836395263672
1712129606.2053506,799679,-38.18494415283203
1712129649.1688495,800886,-35.5909309387207
1712129650.0573828,800910,-35.526283264160156
1712129655.5445707,801066,-36.76577377319336
1712129665.683808,801369,-42.713233947753906
1712129669.8802528,801502,-43.22140121459961
1712129673.121355,801592,-42.09210968017578
1712129683.969064,801917,-39.9354133605957
1712129700.1604867,802370,-36.80864334106445
1712129729.7190132,803160,-37.1894645690918
1712129759.6421824,803989,-37.185420989990234
1712129773.8944373,804391,-40.03812026977539
1712129785.8144038,804715,-36.644588470458984
1712129802.6338708,805176,-38.556922912597656
1712129811.7349544,805426,-38.04207992553711
1712129816.586483,805580,-38.083431243896484
1712129835.458064,806121,-39.655487060546875
1712129859.9428267,806808,-41.052371978759766
1712129860.6344044,806827,-40.74830627441406
1712129866.5305483,806990,-40.116851806640625
1712129874.7182715,807232,-36.9268798828125
1712129875.9569793,807265,-35.76699447631836
1712129892.4767523,807733,-39.5054931640625
1712129906.5184538,808127,-38.004154205322266
1712129916.1652594,808402,-36.6959228515625
1712129918.0930867,808458,-36.85329818725586
1712129925.5063946,808669,-34.51921463012695
1712129931.7581317,808834,-35.57419204711914
1712129951.1103265,809351,-37.6856575012207
1712129962.6909618,809692,-41.25938415527344
1712129967.2719378,809818,-42.709232330322266
1712129978.0310905,810130,-37.11805725097656
1712130015.3597524,811180,-36.53755569458008
1712130040.090126,811901,-37.21552658081055
1712130052.2401745,812259,-37.28739929199219
1712130087.7030718,813294,-41.311336517333984
1712130103.9226115,813789,-35.05476379394531
1712130104.605081,813808,-35.042747497558594
1712130175.8993692,815927,-37.522701263427734
1712130215.3512728,817072,-37.98617172241211
1712130238.0597193,817700,-35.874488830566406
1712130242.5616906,817851,-36.59437942504883
1712130283.3952174,819081,-36.590579986572266
1712130286.7106423,819182,-36.95039367675781
1712130295.0242841,819416,-35.83755111694336
1712130309.7384756,819832,-25.255615234375
1712130310.3272495,819851,-25.870332717895508
1712130317.1789079,820057,-32.976531982421875
1712130331.9327927,820498,-37.582332611083984
1712130361.7705598,821366,-34.965450286865234
1712130380.7196941,821922,-36.104637145996094
1712130392.834239,822290,-34.41720962524414
1712130393.542921,822311,-34.34356689453125
1712130412.732044,822866,-37.65473556518555
1712130419.3490183,823050,-39.87610626220703
1712130421.1881068,823102,-38.8627815246582
1712130443.148459,823757,-32.40396499633789
1712130457.4018898,824151,-32.082672119140625
1712130463.6604571,824335,-32.2972412109375
